region,soil_type,pH,organic_matter,nitrogen,phosphorus,potassium,moisture
Maharashtra,Loamy,6.5,2.1,48,22,170,25.3
Punjab,Sandy Loam,7.2,1.8,52,18,160,23.1
Gujarat,Clay Loam,7.0,2.5,45,25,180,28.0
Kerala,Lateritic,5.8,3.0,38,20,150,30.2
Tamil Nadu,Silty Loam,6.9,2.0,50,21,165,24.8
West Bengal,Loam,6.7,2.3,54,19,175,26.7
Bihar,Sandy Loam,6.8,1.9,49,17,168,22.4
Uttar Pradesh,Clay Loam,7.1,2.2,53,23,172,27.1
Haryana,Silty Loam,7.0,2.4,51,20,170,25.6
Rajasthan,Sandy,7.4,1.5,40,15,140,20.9
Madhya Pradesh,Loam,6.6,2.3,47,22,160,26.0
Assam,Clay,5.9,3.1,42,24,155,29.0
Orrisa,Silty Loam,6.8,2.2,50,18,167,24.5
Jharkhand,Loamy Sand,6.2,2.6,44,21,160,27.3
Chhattisgarh,Loam,6.7,2.0,49,22,170,24.7
Goa,Lateritic,5.7,3.3,39,19,145,29.5
Maharashtra,Loamy,6.6,2.4,46,20,168,25.0
Punjab,Sandy Loam,7.3,1.7,50,18,160,23.4
Gujarat,Clay Loam,7.1,2.6,43,25,175,28.5
Kerala,Lateritic,5.9,2.9,37,23,150,30.1
Tamil Nadu,Silty Loam,7.0,2.1,48,21,165,24.9
West Bengal,Loam,6.8,2.5,55,20,176,26.9
Bihar,Sandy Loam,6.9,1.8,50,17,170,22.7
Uttar Pradesh,Clay Loam,7.2,2.3,52,22,175,27.3
Haryana,Silty Loam,7.1,2.4,54,21,172,25.9
Rajasthan,Sandy,7.5,1.6,41,14,142,21.1
Madhya Pradesh,Loam,6.7,2.2,48,23,162,26.1
Assam,Clay,6.0,3.0,44,25,157,29.2
Orrisa,Silty Loam,6.9,2.3,51,19,170,24.8
Jharkhand,Loamy Sand,6.3,2.7,45,20,161,27.4
Chhattisgarh,Loam,6.8,2.1,50,23,172,24.8
Goa,Lateritic,5.8,3.2,40,18,146,29.7
Maharashtra,Loamy,6.5,2.2,47,22,169,25.1
Punjab,Sandy Loam,7.2,1.8,51,19,161,23.3
Gujarat,Clay Loam,7.0,2.7,44,24,174,28.3
Kerala,Lateritic,5.9,2.8,38,22,151,30.4
Tamil Nadu,Silty Loam,6.9,2.0,49,20,163,25.0
West Bengal,Loam,6.7,2.6,56,21,177,27.1
Bihar,Sandy Loam,6.8,1.9,51,18,171,22.5
Uttar Pradesh,Clay Loam,7.1,2.4,53,23,174,27.2
Haryana,Silty Loam,7.0,2.3,55,22,173,26.0
Rajasthan,Sandy,7.3,1.7,42,16,143,20.8
Madhya Pradesh,Loam,6.6,2.1,49,22,161,25.8
Assam,Clay,5.9,3.2,43,24,158,29.1
Orrisa,Silty Loam,6.8,2.4,52,20,169,24.7
Jharkhand,Loamy Sand,6.1,2.8,46,21,162,27.5
Chhattisgarh,Loam,6.7,2.2,51,22,173,24.9
Goa,Lateritic,5.7,3.1,39,17,147,29.6
