date,region,temperature,rainfall,humidity,wind_speed,sunshine_hours
2025-06-01,Maharashtra,32.1,5.4,72,11,8.5
2025-06-02,Maharashtra,31.5,0.0,69,9,9.0
2025-06-03,Maharashtra,33.0,1.2,70,13,8.8
2025-06-04,Punjab,29.3,3.1,65,7,7.5
2025-06-05,Punjab,30.0,0.0,67,10,8.0
2025-06-06,Punjab,31.2,0.0,68,8,9.1
2025-06-07,Gujarat,34.8,0.0,60,12,9.5
2025-06-08,Gujarat,35.0,0.0,59,14,9.2
2025-06-09,Gujarat,33.9,0.5,61,13,8.6
2025-06-10,Kerala,28.5,12.3,85,5,5.5
2025-06-11,Kerala,29.0,10.1,87,6,5.0
2025-06-12,Kerala,28.9,9.8,86,7,4.8
2025-06-13,Tamil Nadu,31.0,0.0,65,9,8.8
2025-06-14,Tamil Nadu,32.1,0.0,63,10,9.1
2025-06-15,Tamil Nadu,31.7,1.5,64,11,8.9
2025-06-16,West Bengal,30.5,4.0,75,8,7.0
2025-06-17,West Bengal,31.0,2.3,74,9,7.3
2025-06-18,West Bengal,32.0,3.5,73,10,7.1
2025-06-19,Bihar,33.2,1.0,69,11,8.5
2025-06-20,Bihar,34.1,0.0,67,12,9.0
2025-06-21,Bihar,34.0,0.0,66,13,9.3
2025-06-22,Uttar Pradesh,31.5,0.0,64,10,8.8
2025-06-23,Uttar Pradesh,32.3,0.0,63,11,9.0
2025-06-24,Uttar Pradesh,31.7,0.2,65,12,8.5
2025-06-25,Haryana,30.5,3.5,68,9,7.5
2025-06-26,Haryana,31.0,2.8,70,10,7.8
2025-06-27,Haryana,30.8,0.0,69,8,8.1
2025-06-28,Rajasthan,35.0,0.0,45,15,10.0
2025-06-29,Rajasthan,36.2,0.0,46,16,9.8
2025-06-30,Rajasthan,35.8,0.0,44,14,9.5
2025-07-01,Madhya Pradesh,33.0,1.1,62,11,8.5
2025-07-02,Madhya Pradesh,32.5,0.9,63,12,8.7
2025-07-03,Madhya Pradesh,33.2,0.0,61,10,9.0
2025-07-04,Assam,28.0,8.5,88,6,5.3
2025-07-05,Assam,28.5,7.8,87,7,5.0
2025-07-06,Assam,29.0,9.2,89,5,4.8
2025-07-07,Orrisa,30.5,2.0,72,9,7.5
2025-07-08,Orrisa,31.0,3.1,71,10,7.7
2025-07-09,Orrisa,31.3,1.0,70,8,8.1
2025-07-10,Jharkhand,29.0,4.4,75,7,6.5
2025-07-11,Jharkhand,29.5,5.3,74,8,6.2
2025-07-12,Jharkhand,30.0,3.7,73,9,6.0
2025-07-13,Chhattisgarh,32.2,0.0,64,11,8.8
2025-07-14,Chhattisgarh,31.8,0.0,63,10,8.5
2025-07-15,Chhattisgarh,32.0,1.1,65,12,8.9
2025-07-16,Goa,29.5,6.8,80,6,5.2
2025-07-17,Goa,29.8,5.9,79,7,5.0
2025-07-18,Goa,30.0,7.3,81,6,4.9
